object_id,Roads
18-300-00101,65.0
18-300-00102,11.0
18-300-00103,20.0
18-300-00104,1.0
18-300-00105,50.0
18-301-00110,44.0
18-301-00112,158.0
18-301-00113,207.0
18-301-00114,56.0
18-302-00115,98.0
18-302-00116,100.0
18-302-00117,52.0
18-302-00118,2.0
18-302-00119,9.0
18-303-00120,90.0
18-303-00121,290.0
18-303-00122,365.0
18-303-00123,138.0
18-303-00264,45.0
18-303-00266,64.0
18-304-00126,19.0
18-304-00127,2.0
18-304-00128,64.0
18-304-00129,7.0
18-304-00271,142.0
18-305-00130,35.0
18-305-00131,7.0
18-305-00132,0.0
18-305-00133,7.0
18-305-00134,107.0
18-305-00135,157.0
18-305-00136,285.0
18-306-00137,12.0
18-306-00138,34.0
18-306-00139,18.0
18-306-00140,1.0
18-307-00141,31.0
18-307-00142,44.0
18-307-00144,4.0
18-307-00145,4.0
18-307-00146,8.0
18-307-00147,47.0
18-308-00150,126.0
18-308-00151,64.0
18-308-00152,51.0
18-308-00153,62.0
18-309-00154,3.0
18-309-00155,1.0
18-309-00156,0.0
18-309-00157,17.0
18-310-00158,3.0
18-310-00159,1.0
18-310-00160,5.0
18-310-00161,2.0
18-310-00162,109.0
18-310-00163,104.0
18-310-00164,13.0
18-311-00165,10.0
18-311-00166,39.0
18-311-00167,9.0
18-311-00168,12.0
18-312-00169,13.0
18-312-00170,6.0
18-312-00276,18.0
18-312-00277,3.0
18-313-00172,61.0
18-313-00173,13.0
18-313-00174,42.0
18-313-00175,21.0
18-313-00176,7.0
18-313-00177,0.0
18-314-00178,0.0
18-314-00179,7.0
18-314-00275,32.0
18-316-00184,241.0
18-316-00185,298.0
18-316-00186,92.0
18-316-00187,52.0
18-316-00188,112.0
18-317-00189,81.0
18-317-00190,74.0
18-317-00191,142.0
18-317-00192,58.0
18-318-00194,51.0
18-318-00195,111.0
18-318-00196,28.0
18-318-00197,44.0
18-319-00198,64.0
18-319-00199,25.0
18-319-00200,169.0
18-319-00202,97.0
18-320-00205,22.0
18-320-00206,16.0
18-320-00207,42.0
18-321-00208,108.0
18-321-00210,65.0
18-321-00211,115.0
18-321-00212,4.0
18-321-00213,26.0
18-321-00214,46.0
18-321-00215,14.0
18-321-00216,2.0
18-321-00272,0.0
18-323-00222,100.0
18-323-00223,180.0
18-323-00224,32.0
18-323-00225,66.0
18-323-00226,80.0
18-323-00227,43.0
18-323-00228,53.0
18-324-00233,7.0
18-324-00234,4.0
18-324-00260,7.0
18-324-00262,24.0
18-325-00239,123.0
18-325-00269,176.0
18-325-00270,85.0
18-326-00245,52.0
18-326-00246,30.0
18-326-00247,9.0
18-326-00268,59.0
18-755-00248,58.0
18-755-00278,16.0
18-755-00279,12.0
18-756-00249,11.0
18-756-00250,45.0
18-756-00251,41.0
18-757-00252,105.0
18-757-00253,27.0
18-757-00254,4.0
18-760-00280,22.0
18-760-00281,52.0
18-799-00124,223.0
18-799-00265,128.0
18-816-00259,41.0
18-816-00261,82.0
